IFSC Code,Bank ID,Bank Name,Regex,Bank Name
CBIN0280108,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280109,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280110,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280111,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280112,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280113,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280114,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280115,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280116,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280117,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280118,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280119,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280120,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280121,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280122,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280123,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280124,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280125,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280126,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280127,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280128,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280129,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280130,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280131,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280132,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280133,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280134,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280135,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280136,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280137,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280138,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280139,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280140,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280141,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280142,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280143,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280144,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280145,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280146,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280147,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280148,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280149,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280150,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280151,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280152,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280153,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280154,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280155,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280156,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280157,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280158,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280159,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280160,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280161,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280162,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280163,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280164,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280165,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280166,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280167,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280168,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280169,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280170,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280171,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280172,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280173,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280174,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280175,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280176,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280177,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280178,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280179,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280180,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280181,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280182,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280183,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280184,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280185,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280186,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280187,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280188,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280189,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280190,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280191,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280192,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280193,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280194,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280195,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280196,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280197,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280198,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280199,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280200,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280201,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280202,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280203,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280204,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280205,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280206,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280207,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280208,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280209,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280210,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280211,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280212,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280213,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280214,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280215,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280216,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280217,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280218,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280219,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280220,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280221,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280222,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280223,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280224,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280225,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280226,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280227,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280228,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280229,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280230,4,Central Bank of India,^CBIN001[0-9]{4}$,
CBIN0280231,4,Central Bank of India,^CBIN001[0-9]{4}$,
